Date,Open,High,Low,Close,Adj Close,Volume
2023-08-25,4.421728,4.487390,4.367270,4.486454,4.486454,94505373
2023-08-26,4.486581,4.509414,4.479504,4.504440,4.504440,64094464
2023-08-27,4.504369,4.534093,4.469480,4.492393,4.492393,72388709
2023-08-28,4.492270,4.612860,4.429404,4.606012,4.606012,106679076
2023-08-29,4.606247,4.793432,4.544566,4.672861,4.672861,151248371
2023-08-30,4.673511,4.676996,4.528356,4.536326,4.536326,97826997
2023-08-31,4.536424,4.537136,4.249265,4.269450,4.269450,154667296
2023-09-01,4.269524,4.292116,4.165602,4.215832,4.215832,120746799
2023-09-02,4.215987,4.270141,4.210273,4.261871,4.261871,69668222
2023-09-03,4.262035,4.297564,4.237326,4.261633,4.261633,67945949
2023-09-04,4.261396,4.313476,4.201612,4.253158,4.253158,92578305
2023-09-05,4.253233,4.296285,4.210846,4.256727,4.256727,79724505
2023-09-06,4.256875,4.272677,4.193647,4.269389,4.269389,89409575
2023-09-07,4.269510,4.301763,4.236168,4.286740,4.286740,91550865
2023-09-08,4.286993,4.324171,4.218164,4.249899,4.249899,91436484
2023-09-09,4.249749,4.272862,4.239682,4.239696,4.239696,55876925
2023-09-10,4.239597,4.239597,4.117676,4.151951,4.151951,93614703
2023-09-11,4.151890,4.151890,3.921806,3.987120,3.987120,150489930
2023-09-12,3.987102,4.083702,3.971523,3.986928,3.986928,119246327
2023-09-13,3.987335,4.067595,3.955519,4.002867,4.002867,110074342
2023-09-14,4.002846,4.086883,3.980480,4.058726,4.058726,104617463
2023-09-15,4.058772,4.168669,4.051913,4.141959,4.141959,92364607
2023-09-16,4.141648,4.222273,4.141084,4.185609,4.185609,78607121
2023-09-17,4.185529,4.187349,4.060371,4.074598,4.074598,69631309
2023-09-18,4.074344,4.217762,4.031318,4.108243,4.108243,107466794
2023-09-19,4.108263,4.163175,4.087499,4.156242,4.156242,98635960
2023-09-20,4.156310,4.166063,4.086918,4.139903,4.139903,94604882
2023-09-21,4.139848,4.161034,4.008155,4.013979,4.013979,96861726
2023-09-22,4.014036,4.035164,3.996578,4.019402,4.019402,83094041
2023-09-23,4.019329,4.036120,4.005505,4.032540,4.032540,60313482
2023-09-24,4.032538,4.056786,3.985094,3.990195,3.990195,66771867
2023-09-25,3.990417,4.086167,3.972742,4.064115,4.064115,99085397
2023-09-26,4.064018,4.087616,3.993155,4.014101,4.014101,91992477
2023-09-27,4.013869,4.069361,3.971050,3.990727,3.990727,75472569
2023-09-28,3.990696,4.094013,3.984987,4.074661,4.074661,83423727
2023-09-29,4.074631,4.112712,4.063875,4.077262,4.077262,74285652
